origin_state,origin_state_name,dest_state,dest_state_name,year,tons,value,tons_lag1,value_lag1,tons_growth,value_growth,distance_miles,cpi_pc1,target_next_year_tons
44,Rhode Island,42,Pennsylvania,2019,147.785368,737.3004070000001,150.98878,743.728087,-0.021216225470528247,-0.008642513456668601,306.51118909734737,1.8126316666666666,159.958022
44,Rhode Island,42,Pennsylvania,2020,159.958022,688.137011,147.785368,737.3004070000001,0.08236711228407939,-0.06668027785314926,306.51118909734737,1.2548791666666668,152.672874
44,Rhode Island,42,Pennsylvania,2021,152.672874,629.692249,159.958022,688.137011,-0.04554412407025133,-0.08493186831364907,306.51118909734737,4.6765175,169.262978
44,Rhode Island,42,Pennsylvania,2022,169.262978,652.017461,152.672874,629.692249,0.10866438526597721,0.035454163578246746,306.51118909734737,7.998425833333333,135.129749
44,Rhode Island,42,Pennsylvania,2023,135.129749,659.309861,169.262978,652.017461,-0.201657972719823,0.011184363051896748,306.51118909734737,4.1461049999999995,340.902534
44,Rhode Island,44,Rhode Island,2019,18031.662852,18880.24879,17017.677662,18272.084492,0.05958422824426883,0.03328379409947836,0.0,1.8126316666666666,17647.216278
44,Rhode Island,44,Rhode Island,2020,17647.216278,15921.152771000001,18031.662852,18880.24879,-0.021320638986845303,-0.15672971537151023,0.0,1.2548791666666668,18341.256552
44,Rhode Island,44,Rhode Island,2021,18341.256552,15523.255616,17647.216278,15921.152771000001,0.03932859795373099,-0.024991730229783408,0.0,4.6765175,19088.505877
44,Rhode Island,44,Rhode Island,2022,19088.505877,15226.800485,18341.256552,15523.255616,0.040741446633247046,-0.019097484337914326,0.0,7.998425833333333,18806.435426
44,Rhode Island,44,Rhode Island,2023,18806.435426,15582.82234,19088.505877,15226.800485,-0.014776979026937363,0.02338126485276535,0.0,4.1461049999999995,17875.714319000002
44,Rhode Island,45,South Carolina,2019,34.938432,246.229245,36.161373,253.454863,-0.03381898690627701,-0.0285085001505771,743.75269442561,1.8126316666666666,33.080106
44,Rhode Island,45,South Carolina,2020,33.080106,229.201052,34.938432,246.229245,-0.053188591863538644,-0.06915585108503251,743.75269442561,1.2548791666666668,31.488651
44,Rhode Island,45,South Carolina,2021,31.488651,226.977678,33.080106,229.201052,-0.04810912637341609,-0.009700540117939803,743.75269442561,4.6765175,32.674275
44,Rhode Island,45,South Carolina,2022,32.674275,231.091284,31.488651,226.977678,0.03765242277289048,0.018123394495206724,743.75269442561,7.998425833333333,32.423349
44,Rhode Island,45,South Carolina,2023,32.423349,228.779678,32.674275,231.091284,-0.0076796195171889734,-0.010002999507328938,743.75269442561,4.1461049999999995,32.454820999999995
