origin_state,origin_state_name,dest_state,dest_state_name,feature_year,prediction_year,selected_model,predicted_tons
29,Missouri,6,California,2024,2025,linear_regression,2240.717974183305
12,Florida,45,South Carolina,2024,2025,linear_regression,2237.151394276634
23,Maine,36,New York,2024,2025,linear_regression,2236.52034768397
42,Pennsylvania,37,North Carolina,2024,2025,linear_regression,2236.2870708952173
16,Idaho,49,Utah,2024,2025,linear_regression,2218.7209002176883
5,Arkansas,13,Georgia,2024,2025,linear_regression,2187.59322970567
36,New York,48,Texas,2024,2025,linear_regression,2186.3536663136074
47,Tennessee,39,Ohio,2024,2025,linear_regression,2185.725543557105
45,South Carolina,12,Florida,2024,2025,linear_regression,2174.511857911032
42,Pennsylvania,12,Florida,2024,2025,linear_regression,2151.2240335667066
23,Maine,34,New Jersey,2024,2025,linear_regression,2148.7410537396777
13,Georgia,17,Illinois,2024,2025,linear_regression,2122.5985040393766
47,Tennessee,17,Illinois,2024,2025,linear_regression,2118.7063811160083
41,Oregon,16,Idaho,2024,2025,linear_regression,2116.1319606655074
13,Georgia,39,Ohio,2024,2025,linear_regression,2111.647786966208
37,North Carolina,39,Ohio,2024,2025,linear_regression,2106.871539417709
18,Indiana,27,Minnesota,2024,2025,linear_regression,2097.704580239794
1,Alabama,22,Louisiana,2024,2025,linear_regression,2093.4438612034933
39,Ohio,34,New Jersey,2024,2025,linear_regression,2091.2443802247585
4,Arizona,32,Nevada,2024,2025,linear_regression,2081.9327338674457
8,Colorado,31,Nebraska,2024,2025,linear_regression,2066.339000359618
21,Kentucky,54,West Virginia,2024,2025,linear_regression,2064.0201692449045
13,Georgia,28,Mississippi,2024,2025,linear_regression,2032.0073080104726
51,Virginia,34,New Jersey,2024,2025,linear_regression,2024.9126862635785
24,Maryland,36,New York,2024,2025,linear_regression,2019.9735844316501
34,New Jersey,10,Delaware,2024,2025,linear_regression,2015.7765042071028
39,Ohio,19,Iowa,2024,2025,linear_regression,2008.6164774974857
29,Missouri,18,Indiana,2024,2025,linear_regression,2007.6820510588077
22,Louisiana,13,Georgia,2024,2025,linear_regression,2001.4436443140346
31,Nebraska,46,South Dakota,2024,2025,linear_regression,1996.9827276615858
18,Indiana,13,Georgia,2024,2025,linear_regression,1962.343505811801
29,Missouri,31,Nebraska,2024,2025,linear_regression,1940.550238865076
39,Ohio,29,Missouri,2024,2025,linear_regression,1923.169586140987
47,Tennessee,12,Florida,2024,2025,linear_regression,1912.767502267942
48,Texas,34,New Jersey,2024,2025,linear_regression,1905.6250098786566
30,Montana,56,Wyoming,2024,2025,linear_regression,1904.210186902571
26,Michigan,47,Tennessee,2024,2025,linear_regression,1897.5440912846934
8,Colorado,49,Utah,2024,2025,linear_regression,1895.6425571006455
18,Indiana,29,Missouri,2024,2025,linear_regression,1878.0326931525344
24,Maryland,11,Washington DC,2024,2025,linear_regression,1877.9071762114088
9,Connecticut,42,Pennsylvania,2024,2025,linear_regression,1874.4589028513683
6,California,29,Missouri,2024,2025,linear_regression,1872.527460152477
47,Tennessee,51,Virginia,2024,2025,linear_regression,1868.2867594209472
51,Virginia,13,Georgia,2024,2025,linear_regression,1858.346805437635
47,Tennessee,29,Missouri,2024,2025,linear_regression,1857.0996578383995
12,Florida,37,North Carolina,2024,2025,linear_regression,1851.0531324197825
21,Kentucky,42,Pennsylvania,2024,2025,linear_regression,1849.7625401347152
48,Texas,55,Wisconsin,2024,2025,linear_regression,1845.8472527817967
45,South Carolina,48,Texas,2024,2025,linear_regression,1833.489100786495
17,Illinois,36,New York,2024,2025,linear_regression,1800.5685112597703
36,New York,51,Virginia,2024,2025,linear_regression,1798.940583951436
1,Alabama,39,Ohio,2024,2025,linear_regression,1763.8252361579218
18,Indiana,36,New York,2024,2025,linear_regression,1755.4839407183813
18,Indiana,19,Iowa,2024,2025,linear_regression,1754.9621568634814
28,Mississippi,13,Georgia,2024,2025,linear_regression,1749.068459840564
56,Wyoming,49,Utah,2024,2025,linear_regression,1747.2630622336083
6,California,21,Kentucky,2024,2025,linear_regression,1744.1669793844794
36,New York,12,Florida,2024,2025,linear_regression,1741.1762105678652
48,Texas,18,Indiana,2024,2025,linear_regression,1738.4920150109715
49,Utah,32,Nevada,2024,2025,linear_regression,1705.9064997490698
